"","SRR951029","SRR951030","SRR951035","SRR951036","SRR951038","SRR951039"
"SL1344_0001",170.57,184.67,83.54,76.34,30.02,10.23
"SL1344_0002",1.48,1.78,1.29,1.4,0.24,0.19
"SL1344_0003",4.59,4.35,3.78,3.61,0.22,0.08
"SL1344_0004",6.06,5.21,3.99,4.36,0.43,0.25
"SL1344_0005",9.27,11.19,4.62,5.86,0.39,0.28
"SL1344_0006",4.14,3.59,1.36,1.94,0.46,0.47
"SL1344_0007",62.76,64.38,20.07,22.54,3.24,1.54
"SL1344_0008",8.72,8.78,6.59,4.73,2.93,1.24
"SL1344_0009",9.18,9.89,1.09,1.15,0.63,0.38
"SL1344_0010",0.91,0.66,0.81,0.58,0.46,0.21
"SL1344_0011",1.98,1.67,0.67,1.06,0.31,0.23
"SL1344_0012",107.51,108.72,11.47,9.73,0.98,0.6
"tpke11",184.64,172.45,29.31,26.31,10.29,5.16
"SL1344_0013",45.53,45.71,6.3,7.64,1.17,1.02
"STnc890",108.04,119.81,37.23,42.94,14.49,14.41
"SL1344_0014",2.54,3.22,0.52,0.69,0.33,0.12
"SL1344_0015",0.9,0.53,0.88,0.51,0.97,0.41
"STnc3200",2.64,3.73,5.11,3.9,4,0.82
"SL1344_0016",0.73,0.93,0.37,0.52,1.58,0.35
"STnc3210",2.08,2.1,1.5,1.88,9.38,2.55
"SL1344_0017",0.64,0.59,0.44,0.64,2.31,0.68
"SL1344_0018",0.95,0.9,0.32,0.56,0.74,0.36
"SL1344_0019",0.45,0.5,0.28,0.35,0.29,0.1
"SL1344_0020",0.44,0.48,0.32,0.33,0.12,0.13
"SL1344_0021",0.57,0.77,0.42,0.63,0.16,0.13
"SL1344_0022",1.62,1.21,0.68,0.71,0.42,0.09
"SL1344_0023",0.88,0.69,0.46,0.44,0.18,0.06
"SL1344_0024",1.34,1.37,0.49,0.53,0.25,0.1
"SL1344_0025",0.85,1,0.22,0.27,0.17,0.09
"SL1344_0026",1.6,1.31,1.28,0.96,2.16,1.04
"SL1344_0027",0.84,0.44,0.65,0.68,0.5,0.29
"SL1344_0028",0.98,1.63,0.77,0.77,0.12,0.08
"SL1344_0029",2.12,1.26,0.76,0.99,3.21,0.82
"SL1344_0030",0.29,0.29,0.05,0.08,0.55,0.21
"SL1344_0031",0.7,0.65,0.37,0.29,0.5,0.15
"SL1344_0032",0.41,0.35,0.39,0.15,0.12,0.04
"SL1344_0033",1.02,0.82,0.85,0.73,0.57,0.36
"SL1344_0034",1.78,1.46,1.58,1.53,0.86,0.3
"SL1344_0035",0.82,0.79,0.56,0.67,5.28,2.48
"SL1344_0036",0.99,0.96,1.45,1.32,1.19,0.63
"SL1344_ncRNA_1",37.88,36.84,61.34,52.25,144.8,91.76
"STnc1010",37.88,36.84,61.34,52.25,144.8,91.76
"SL1344_0037",1.15,1.27,0.6,0.67,0.18,0.09
