"affected_lt","chrom","m_start","m_stop","pos_id","f_type","met_dir","site_start","site_stop","locus_tag","id2","f_dir","locus_tag1","id21","f_start","f_stop","domain","MEP.1.x","MEP.2.x","LSP.1.x","LSP.2.x","MEP.1.y","MEP.2.y","LSP.1.y","LSP.2.y","MEP_wt_mean","LSP_wt_mean","methyl_status","dna","feature","log2FCMethyl","rel_genomic_pos","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","DEG"
"AmgR","ST4-74.fa",3986140,3986141,"ST4-74.fa_3986140_-","sRNA","-",3986138,3986142,"AmgR","no","+","AmgR","no",3985658,3986858,"Origin",83.33,80.95,91.94,87.5,12,21,62,8,81.8154545454545,91.4325714285714,"Constitutive","chromosome","intragenic",0.160158482917402,483,871.857092352039,1.60909623517633,0.28670031960828,5.61246753186342,1.99461644047693e-08,4.90704905234201e-08,"DEG"
"AmgR","ST4-74.fa",3985971,3985972,"ST4-74.fa_3985971_+","sRNA","+",3985970,3985974,"AmgR","no","+","AmgR","no",3985658,3986858,"Origin",86.67,84.62,89.47,100,15,26,57,11,85.37,91.1733823529412,"Constitutive","chromosome","intragenic",0.0947145351335764,314,871.857092352039,1.60909623517633,0.28670031960828,5.61246753186342,1.99461644047693e-08,4.90704905234201e-08,"DEG"
"AmgR","ST4-74.fa",3985972,3985973,"ST4-74.fa_3985972_-","sRNA","-",3985970,3985974,"AmgR","no","+","AmgR","no",3985658,3986858,"Origin",90.91,90.91,93.1,87.5,11,22,58,8,90.91,92.4212121212121,"Constitutive","chromosome","intragenic",0.0236263266838325,315,871.857092352039,1.60909623517633,0.28670031960828,5.61246753186342,1.99461644047693e-08,4.90704905234201e-08,"DEG"
"AmgR","ST4-74.fa",3986139,3986140,"ST4-74.fa_3986139_+","sRNA","+",3986138,3986142,"AmgR","no","+","AmgR","no",3985658,3986858,"Origin",83.33,88.46,93.33,91.67,18,26,60,12,86.3613636363636,93.0533333333333,"Constitutive","chromosome","intragenic",0.107504763912837,482,871.857092352039,1.60909623517633,0.28670031960828,5.61246753186342,1.99461644047693e-08,4.90704905234201e-08,"DEG"
"CsrC","ST4-74.fa",4231615,4231616,"ST4-74.fa_4231615_+","sRNA","+",4231614,4231618,"CsrC","no","+","CsrC","no",4231594,4231838,"Origin",93.33,75,91.49,100,15,28,47,12,81.3941860465116,93.2208474576271,"Constitutive","chromosome","intragenic",0.195549644185036,22,19746.0103932265,2.27416478944357,0.300826646794886,7.55971857437939,4.03942370512867e-14,1.45055964743057e-13,"DEG"
"CsrC","ST4-74.fa",4231616,4231617,"ST4-74.fa_4231616_-","sRNA","-",4231614,4231618,"CsrC","no","+","CsrC","no",4231594,4231838,"Origin",100,95.45,93.62,100,6,22,47,9,96.425,94.6453571428572,"Constitutive","chromosome","intragenic",-0.0270251156415229,23,19746.0103932265,2.27416478944357,0.300826646794886,7.55971857437939,4.03942370512867e-14,1.45055964743057e-13,"DEG"
"IsrQ","ST4-74.fa",4783588,4783589,"ST4-74.fa_4783588_-","sRNA","-",4783586,4783590,"IsrQ","no","+","IsrQ","no",4783573,4783741,"NSR",88.89,95,94.55,94.74,9,20,55,19,93.1037931034483,94.5987837837838,"Constitutive","chromosome","intragenic",0.0228267431016974,16,897.186744396227,0.950797204961662,0.234799941035783,4.04939286086432,5.1350679829359e-05,9.89449522104577e-05,"non-DEG"
"IsrQ","ST4-74.fa",4783569,4783570,"ST4-74.fa_4783569_-","intergenic","-",4783567,4783571,"SL1344_4438","trpS2","-+","IsrQ","no",4783423,4783573,"NSR",100,95,90,94.12,9,20,60,17,96.551724137931,90.9096103896104,"Constitutive","chromosome","intergenic",-0.0870186209808458,-4,897.186744396227,0.950797204961662,0.234799941035783,4.04939286086432,5.1350679829359e-05,9.89449522104577e-05,"non-DEG"
"IsrQ","ST4-74.fa",4783587,4783588,"ST4-74.fa_4783587_+","sRNA","+",4783586,4783590,"IsrQ","no","+","IsrQ","no",4783573,4783741,"NSR",100,95.65,93.55,80,6,23,62,5,96.55,92.5388059701492,"Constitutive","chromosome","intragenic",-0.0613671921892706,15,897.186744396227,0.950797204961662,0.234799941035783,4.04939286086432,5.1350679829359e-05,9.89449522104577e-05,"non-DEG"
"IsrQ","ST4-74.fa",4783511,4783512,"ST4-74.fa_4783511_+","intergenic","+",4783510,4783514,"SL1344_4438","trpS2","-+","IsrQ","no",4783423,4783573,"NSR",100,91.67,93.1,80,6,24,58,5,93.336,92.0603174603174,"Constitutive","chromosome","intergenic",-0.0200087848261708,-62,897.186744396227,0.950797204961662,0.234799941035783,4.04939286086432,5.1350679829359e-05,9.89449522104577e-05,"non-DEG"
"IsrQ","ST4-74.fa",4783568,4783569,"ST4-74.fa_4783568_+","intergenic","+",4783567,4783571,"SL1344_4438","trpS2","-+","IsrQ","no",4783423,4783573,"NSR",83.33,81.82,92.59,80,6,22,54,5,82.1435714285714,91.5230508474576,"Constitutive","chromosome","intergenic",0.155811849769947,-5,897.186744396227,0.950797204961662,0.234799941035783,4.04939286086432,5.1350679829359e-05,9.89449522104577e-05,"non-DEG"
"IsrQ","ST4-74.fa",4783512,4783513,"ST4-74.fa_4783512_-","intergenic","-",4783510,4783514,"SL1344_4438","trpS2","-+","IsrQ","no",4783423,4783573,"NSR",100,90.48,96.3,94.12,10,21,54,17,93.5509677419355,95.7780281690141,"Constitutive","chromosome","intergenic",0.0337879501908141,-61,897.186744396227,0.950797204961662,0.234799941035783,4.04939286086432,5.1350679829359e-05,9.89449522104577e-05,"non-DEG"
"SL1344_0001","ST4-74.fa",93,94,"ST4-74.fa_93_+","intergenic","+",92,96,"SL1344_4527","lasT","++","SL1344_0001","thrL",0,168,"NSR",100,91.67,97.22,100,1,12,36,4,92.3107692307692,97.498,"Constitutive","chromosome","intergenic",0.078717380025082,-75,540.607668844581,-0.300683102916366,0.30093766122205,-0.999154116155981,0.317720039250852,0.368367195254037,"non-DEG"
"SL1344_0001","ST4-74.fa",94,95,"ST4-74.fa_94_-","intergenic","-",92,96,"SL1344_4527","lasT","++","SL1344_0001","thrL",0,168,"NSR",100,100,90,88.89,2,3,30,9,100,89.7438461538462,"Constitutive","chromosome","intergenic",-0.156259342228433,-74,540.607668844581,-0.300683102916366,0.30093766122205,-0.999154116155981,0.317720039250852,0.368367195254037,"non-DEG"
"SL1344_0001","ST4-74.fa",25,26,"ST4-74.fa_25_-","intergenic","-",23,27,"SL1344_4527","lasT","++","SL1344_0001","thrL",0,168,"NSR",33.33,33.33,90.62,71.43,3,3,32,7,33.33,87.175641025641,"LSP-specific","chromosome","intergenic",1.38667096323645,-143,540.607668844581,-0.300683102916366,0.30093766122205,-0.999154116155981,0.317720039250852,0.368367195254037,"non-DEG"
