"affected_lt","chrom","m_start","m_stop","pos_id","f_type","met_dir","site_start","site_stop","locus_tag","id2","f_dir","locus_tag1","id21","f_start","f_stop","domain","MEP.1.x","MEP.2.x","LSP.1.x","LSP.2.x","MEP.1.y","MEP.2.y","LSP.1.y","LSP.2.y","MEP_wt_mean","LSP_wt_mean","methyl_status","dna","feature","log2FCMethyl","rel_genomic_pos","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","DEG"
"AmgR","ST4-74.fa",3985682,3985683,"ST4-74.fa_3985682_-","sRNA","-",3985681,3985687,"AmgR","no","+","AmgR","no",3985658,3986858,"Origin",6.67,10.53,19.67,0,15,19,61,5,8.82705882352941,18.1798484848485,"UM","chromosome","intragenic",0,24,871.857092352039,1.60909623517633,0.28670031960828,5.61246753186342,1.99461644047693e-08,4.90704905234201e-08,"DEG"
"AmgR","ST4-74.fa",3985685,3985686,"ST4-74.fa_3985685_+","sRNA","+",3985681,3985687,"AmgR","no","+","AmgR","no",3985658,3986858,"Origin",12.5,4.17,18.33,26.67,16,24,60,15,7.502,19.998,"UM","chromosome","intragenic",0,24,871.857092352039,1.60909623517633,0.28670031960828,5.61246753186342,1.99461644047693e-08,4.90704905234201e-08,"DEG"
"SL1344_0014","ST4-74.fa",15876,15877,"ST4-74.fa_15876_+","CDS","+",15872,15878,"SL1344_0014","STM0014","+","SL1344_0014","STM0014",15013,15961,"NSR",0,17.65,28.57,37.5,4,17,49,8,14.2880952380952,29.8233333333333,"UM","chromosome","intragenic",0,860,72.3728357539007,-0.801122540579267,0.354025503320668,-2.26289499786016,0.0236421628309062,0.0340715328565709,"non-DEG"
"SL1344_0014","ST4-74.fa",15873,15874,"ST4-74.fa_15873_-","CDS","-",15872,15878,"SL1344_0014","STM0014","+","SL1344_0014","STM0014",15013,15961,"NSR",0,7.14,15.52,0,7,14,58,13,4.76,12.6783098591549,"UM","chromosome","intragenic",0,860,72.3728357539007,-0.801122540579267,0.354025503320668,-2.26289499786016,0.0236421628309062,0.0340715328565709,"non-DEG"
"SL1344_0019","ST4-74.fa",20305,20306,"ST4-74.fa_20305_-","CDS","-",20304,20310,"SL1344_0019","STM0019","+","SL1344_0019","STM0019",20057,23054,"NSR",0,12.5,5,7.69,6,16,60,13,9.09090909090909,5.47904109589041,"UM","chromosome","intragenic",0,248,98.9533568478468,1.55318736494074,0.337025498877543,4.60851588415002,4.05553396586138e-06,8.60539493135748e-06,"DEG"
"SL1344_0019","ST4-74.fa",20308,20309,"ST4-74.fa_20308_+","CDS","+",20304,20310,"SL1344_0019","STM0019","+","SL1344_0019","STM0019",20057,23054,"NSR",0,0,15.22,16.67,8,19,46,6,0,15.3873076923077,"UM","chromosome","intragenic",0,248,98.9533568478468,1.55318736494074,0.337025498877543,4.60851588415002,4.05553396586138e-06,8.60539493135748e-06,"DEG"
"SL1344_0032","ST4-74.fa",34860,34861,"ST4-74.fa_34860_+","intergenic","+",34856,34862,"SL1344_0032","STM0031","-+","SL1344_0033","STM0032",34816,35338,"NSR",0,5.56,18.52,16.67,8,18,54,12,3.84923076923077,18.1836363636364,"UM","chromosome","intergenic",0,-39,8.3924878562093,0.526501740349033,0.87666129761384,0.600576005558935,0.548122423401284,0.599479111333013,"non-DEG"
"SL1344_0032","ST4-74.fa",34857,34858,"ST4-74.fa_34857_-","intergenic","-",34856,34862,"SL1344_0032","STM0031","-+","SL1344_0033","STM0032",34816,35338,"NSR",11.11,35.29,15.69,0,9,17,51,13,26.92,12.50296875,"UM","chromosome","intergenic",0,-39,8.3924878562093,0.526501740349033,0.87666129761384,0.600576005558935,0.548122423401284,0.599479111333013,"non-DEG"
"SL1344_0032","ST4-74.fa",35119,35120,"ST4-74.fa_35119_-","intergenic","-",35118,35124,"SL1344_0032","STM0031","-+","SL1344_0033","STM0032",34816,35338,"NSR",0,5.26,5.88,0,8,19,51,12,3.70148148148148,4.76,"UM","chromosome","intergenic",0,-301,8.3924878562093,0.526501740349033,0.87666129761384,0.600576005558935,0.548122423401284,0.599479111333013,"non-DEG"
"SL1344_0032","ST4-74.fa",35122,35123,"ST4-74.fa_35122_+","intergenic","+",35118,35124,"SL1344_0032","STM0031","-+","SL1344_0033","STM0032",34816,35338,"NSR",0,10,6.67,33.33,8,20,45,9,7.14285714285714,11.1133333333333,"UM","chromosome","intergenic",0,-301,8.3924878562093,0.526501740349033,0.87666129761384,0.600576005558935,0.548122423401284,0.599479111333013,"non-DEG"
"SL1344_0033","ST4-74.fa",35122,35123,"ST4-74.fa_35122_+","intergenic","+",35118,35124,"SL1344_0032","STM0031","-+","SL1344_0033","STM0032",34816,35338,"NSR",0,10,6.67,33.33,8,20,45,9,7.14285714285714,11.1133333333333,"UM","chromosome","intergenic",0,-219,138.783856640548,1.97187830398607,0.315527165141656,6.24947238093049,4.11841558542024e-10,1.14095533096086e-09,"DEG"
"SL1344_0033","ST4-74.fa",35119,35120,"ST4-74.fa_35119_-","intergenic","-",35118,35124,"SL1344_0032","STM0031","-+","SL1344_0033","STM0032",34816,35338,"NSR",0,5.26,5.88,0,8,19,51,12,3.70148148148148,4.76,"UM","chromosome","intergenic",0,-219,138.783856640548,1.97187830398607,0.315527165141656,6.24947238093049,4.11841558542024e-10,1.14095533096086e-09,"DEG"
"SL1344_0033","ST4-74.fa",34860,34861,"ST4-74.fa_34860_+","intergenic","+",34856,34862,"SL1344_0032","STM0031","-+","SL1344_0033","STM0032",34816,35338,"NSR",0,5.56,18.52,16.67,8,18,54,12,3.84923076923077,18.1836363636364,"UM","chromosome","intergenic",0,-481,138.783856640548,1.97187830398607,0.315527165141656,6.24947238093049,4.11841558542024e-10,1.14095533096086e-09,"DEG"
