,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RprA,27920.9826995326,7.41874814563939,0.201467946697771,36.8234662994233,7.77780897003898E-297,1.95650784641331E-293
SL1344_ncRNA_33,27920.9826995326,7.41874814563939,0.201467946697771,36.8234662994233,7.77780897003898E-297,1.95650784641331E-293
SL1344_ncRNA_47,191768.889411279,9.79650023177488,0.267572106156149,36.6125616474307,1.80519693267605E-293,2.2704864420733E-290
SdsR,191768.889411279,9.79650023177488,0.267572106156149,36.6125616474307,1.80519693267605E-293,2.2704864420733E-290
SL1344_ncRNA_46,192208.951494449,9.46423859062174,0.270530194349401,34.9840379680439,3.93476038317698E-268,3.2992965812939E-265
SraC,192208.951494449,9.46423859062174,0.270530194349401,34.9840379680439,3.93476038317698E-268,3.2992965812939E-265
SL1344_3407,4920.94177169975,-7.35777065547217,0.251166032829848,-29.2944494626656,1.22050109484563E-188,8.77191572595481E-186
SL1344_1209,13546.254545739,8.27633800917738,0.28371818779086,29.1709815067556,4.52760835248067E-187,2.84729970266628E-184
SL1344_3387,14521.0042190783,-5.43640883627496,0.194216843166144,-27.9914385778804,2.06546807343432E-172,1.15459665304978E-169
SL1344_ncRNA_24,2739.1060843091,6.58096782318905,0.245760490756186,26.7779731515831,5.83433843181747E-158,2.66841424095216E-155
STnc850,2739.1060843091,6.58096782318905,0.245760490756186,26.7779731515831,5.83433843181747E-158,2.66841424095216E-155
RybB,3547.96225056983,5.22287184511884,0.197023358871754,26.5088965847877,7.65378718248428E-155,2.96201563962142E-152
SL1344_ncRNA_16,3547.96225056983,5.22287184511884,0.197023358871754,26.5088965847877,7.65378718248428E-155,2.96201563962142E-152
SL1344_3382,9905.48901509408,-6.9958533274394,0.266117753174206,-26.2885630289377,2.59164794442502E-152,9.31327200600164E-150
SL1344_ncRNA_69,23326.3937251051,5.58134610541077,0.213599357560369,26.1299760877479,1.66463349044528E-150,5.23423193151888E-148
STnc1160,23326.3937251051,5.58134610541077,0.213599357560369,26.1299760877479,1.66463349044528E-150,5.23423193151888E-148
SL1344_3406,3921.4987360123,-7.22763975633559,0.277299664217299,-26.0643653382567,9.24762414954221E-150,2.73675277037334E-147
SL1344_3396,6855.21129696893,-6.66693706359403,0.255942458223495,-26.0485779103219,1.39619456218396E-149,3.90236380130418E-147
SL1344_2256,3308.29395656366,8.26989923697139,0.319492492061459,25.8844869361767,9.9576351899197E-148,2.63667698107821E-145
SL1344_2878,2361.4818091694,6.91939930032688,0.268590626012009,25.7618793442832,2.37268343691635E-146,5.96848518556307E-144
SL1344_4267,7152.42899275853,-5.80180054857763,0.225703151478928,-25.7054476668187,1.01594235723918E-145,2.43390761870015E-143
SL1344_2647,2406.90488643385,-6.30587015290392,0.245415777897251,-25.6946403647447,1.34176244147655E-145,3.06836674684933E-143
RyhB-2,17730.8236847231,8.55357454571045,0.333134687188126,25.6760249672833,2.16592873998951E-145,4.540328121203E-143
SL1344_ncRNA_30,17730.8236847231,8.55357454571045,0.333134687188126,25.6760249672833,2.16592873998951E-145,4.540328121203E-143
STnc1090,2682.22768888212,6.86775259682058,0.267844019911814,25.6408659005407,5.34596668344203E-145,1.07582233537587E-142
SL1344_0480,3111.81960465909,-5.66041597265899,0.221591651997811,-25.5443556723649,6.34372157187407E-144,1.22751012415763E-141
SL1344_1149,2788.96771997552,6.01096675653892,0.236257733532991,25.4424126848721,8.56546859980242E-143,1.59603231576318E-140
SL1344_3383,7363.2914322988,-6.01024549170013,0.236292595277094,-25.435606581967,1.01873431693892E-142,1.83044726732847E-140
SL1344_0152,4844.77858172959,-5.46220181636299,0.214895616416052,-25.4179303768942,1.59792004537649E-142,2.77211577527211E-140
SL1344_3392,4672.06899564289,-6.78484726388416,0.267138917325425,-25.3981985545705,2.64012016957876E-142,4.42748152438358E-140
SL1344_0845,3491.37647299199,5.04039354934855,0.198519946559565,25.3898594912033,3.26387202459416E-142,5.29694843733329E-140
SL1344_3401,4786.84495733984,-5.93353775420232,0.23618873195141,-25.1220187566908,2.8585096788966E-139,4.49411318579026E-137
SL1344_0995,3698.30731526928,5.97698286318973,0.238588785363635,25.051399017268,1.6856281801159E-138,2.56981678004941E-136
SL1344_4089,3485.59301639868,-6.2238799698762,0.250089577473242,-24.8866027635322,1.03908963047331E-136,1.5375470385033E-134
SL1344_3317,3060.77303863572,-5.92931325394789,0.240136956513337,-24.691381701669,1.32360371180498E-134,1.90258579259738E-132
SL1344_3388,3332.15971364237,-6.73107744334602,0.277098525948128,-24.2912784191644,2.42386201142764E-130,3.38734716097013E-128
SL1344_3832,3347.79992480659,-5.9908426140486,0.246662798647155,-24.287580644126,2.65204413170977E-130,3.60606325044104E-128
SL1344_3404,3823.61442967021,-6.70389100633862,0.276055242839148,-24.2845994786806,2.85152490282725E-130,3.77526889108523E-128
SL1344_3645,2007.69915289857,6.06290411006699,0.252089190997565,24.0506309932406,8.22182604515263E-128,1.06061555982469E-125
SL1344_3391,3723.82566646809,-6.76507323839691,0.286023002176163,-23.6521999521922,1.12036893637728E-123,1.40914402972852E-121
SL1344_0217,3528.06048397957,-5.96573406095513,0.25287547802538,-23.5915878737612,4.7019952447898E-123,5.76969221378963E-121
SL1344_2780,1829.7543512216,8.26666788133242,0.353619341534934,23.3773069240212,7.27306713833799E-121,8.71209542213772E-119
tp2,4682.24395384823,-4.50495587107165,0.192870779948714,-23.3573788225959,1.15963987134064E-120,1.35677864946854E-118
SL1344_3403,3198.25060140139,-5.9828570550854,0.256258708225351,-23.3469414425681,1.48036725491968E-120,1.6926653771593E-118
SL1344_2841,2725.5535812978,6.0102168372148,0.258170550233779,23.2800248973883,7.06538692930049E-120,7.89910258695795E-118
SL1344_3831,1948.21908093102,-6.42807693358542,0.279201548712576,-23.0230704780324,2.73847959920304E-117,2.99506323121532E-115
SraL,3217.50991632883,8.70714084997093,0.379311423863809,22.9551242123866,1.30968363217429E-116,1.37271215697268E-114
SL1344_ncRNA_109,3217.50991632883,8.70714084997093,0.379311423863809,22.9551242123866,1.30968363217429E-116,1.37271215697268E-114
SL1344_3384,3070.77976059374,-6.6761843996151,0.295178883971182,-22.6174186642256,2.9207630570251E-113,2.99884876324352E-111
SL1344_3838,2193.96991305278,-5.09357420671489,0.226068235997496,-22.531136160019,2.05614383734173E-112,2.06889192913325E-110
SL1344_3402,2566.51758766157,-6.6134346954067,0.295163309501075,-22.406018914023,3.43838012551477E-111,3.3918608649931E-109
SL1344_1220,1547.33470046317,4.86626931859465,0.217837809301897,22.3389563739625,1.54613290002854E-110,1.49588358077761E-108
ArcZ,73491.3799310072,6.06968681431591,0.271813561686872,22.330331042526,1.87533117019139E-110,1.74718354022831E-108
SL1344_ncRNA_91,73491.3799310072,6.06968681431591,0.271813561686872,22.330331042526,1.87533117019139E-110,1.74718354022831E-108
SL1344_3833,2354.9515316545,-6.1355441293147,0.277961402859035,-22.0733672596489,5.69856188750424E-108,5.21262997382433E-106
SL1344_3390,3342.12817201664,-6.68531676398788,0.303872987850351,-22.0003653871341,2.85668102276292E-107,2.56642182598576E-105
SL1344_2963,3902.48309869063,5.65221619454289,0.257140074386772,21.9810786320347,4.36956555842344E-107,3.85671654814532E-105
SL1344_3300,72106.3296441378,5.84840798856622,0.266880606147176,21.9139489863906,1.91258054079179E-106,1.65899874150405E-104
STnc4210,1953.79029412629,6.29425319362226,0.287463477903128,21.8958360885878,2.84635137726101E-106,2.42711758966104E-104
SL1344_0994,802.386034860469,5.74704058717446,0.264444731948733,21.7324827945093,1.01180904763304E-104,8.48401886440302E-103
SL1344_4464,2663.78610988497,-5.33617569459781,0.246319903588265,-21.663599314806,4.52463872252884E-104,3.73171433000698E-102
SL1344_1064,1265.61671475642,4.99908794294695,0.231294001588093,21.6135650238337,1.33900427238977E-103,1.08653717651499E-101
SL1344_3395,6713.47760283073,-5.4785833150649,0.253913473692803,-21.5765758129604,2.98146997009338E-103,2.38091673326029E-101
SL1344_3829,2731.61698434695,-4.29455153050722,0.199691112425699,-21.5059722906052,1.3688689393982E-102,1.07605931783005E-100
SL1344_3405,2752.48098734027,-6.93661118550841,0.322556973840043,-21.5050727408805,1.39566603230743E-102,1.08024550900595E-100
SL1344_3984,2375.49672681556,-4.99943249474242,0.232857772967053,-21.4698974014915,2.97674768574611E-102,2.26909357681646E-100
SL1344_3128,6480.65265996169,3.83035187443613,0.178736619436221,21.4301461363541,6.99602451628425E-102,5.25328348379493E-100
SL1344_3389,1901.45096220459,-6.71288035934732,0.313710390068973,-21.3983360827527,1.38461784820886E-101,1.02441358740276E-99
SL1344_2648,3324.03787032432,-7.36211358304285,0.344541085442269,-21.3678829437496,2.65919911211158E-101,1.93890300478745E-99
SL1344_1263,2576.71946511829,5.29241613247725,0.248008063286479,21.3396938081157,4.86119455611665E-101,3.49380997311756E-99
SL1344_3381,3540.90581853957,-6.44350825397916,0.302793218778386,-21.2802264197837,1.73104490501068E-100,1.22660379114208E-98
STnc400,129958.676649946,4.54385268687757,0.213879454515809,21.2449236751803,3.67298812010691E-100,2.55966921209837E-98
SL1344_ncRNA_98,129960.17532307,4.54374611410996,0.213879699849679,21.2444010221795,3.71408969356352E-100,2.55966921209837E-98
SL1344_1269,2869.2956164846,-6.16878993082734,0.291060294541875,-21.1941994373947,1.08020028372909E-99,7.34390219924467E-98
STnc2080,12509.2050094821,7.43213273299962,0.354565685233116,20.9612295902611,1.48208816521658E-97,9.94184741227284E-96
STnc1710,1140.57288886845,5.56767397757687,0.265745455115393,20.9511540852477,1.83138929351529E-97,1.21233151785203E-95
