"chrom"	"m_start"	"m_stop"	"pos_id"	"f_type"	"met_dir"	"site_start"	"site_stop"	"locus_tag"	"id2"	"f_dir"	"locus_tag1"	"id21"	"f_start"	"f_stop"	"domain"	"MEP-1.x"	"MEP-2.x"	"LSP-1.x"	"LSP-2.x"	"MEP-1.y"	"MEP-2.y"	"LSP-1.y"	"LSP-2.y"	"MEP_wt_mean"	"LSP_wt_mean"	"methyl_status"	"dna"	"feature"
"ST4-74_pColIb.fa"	1031	1032	"ST4-74_pColIb.fa_1031_+"	"CDS"	"+"	1028	1033	"SLP2_0002"	"repZ"	"+"	"SLP2_0002"	"repZ"	454	1486	"plasmid"	100	84.62	91.67	100	2	13	24	10	86.6706666666667	94.12	"Constitutive"	"plasmid"	"intragenic"
"ST4-74_pColIb.fa"	10751	10752	"ST4-74_pColIb.fa_10751_-"	"CDS"	"-"	10750	10755	"SLP2_0014"	"ybaA"	"+"	"SLP2_0014"	"ybaA"	10657	10977	"plasmid"	85.71	80	80	81.82	7	25	30	11	81.2490625	80.4882926829268	"Constitutive"	"plasmid"	"intragenic"
"ST4-74_pColIb.fa"	11130	11131	"ST4-74_pColIb.fa_11130_-"	"CDS"	"-"	11129	11134	"SLP2_0015"	"ybbA"	"+"	"SLP2_0015"	"ybbA"	11075	11759	"plasmid"	75	82.61	88.46	54.55	4	23	26	11	81.4825925925926	78.3786486486486	"Constitutive"	"plasmid"	"intragenic"
"ST4-74_pColIb.fa"	11349	11350	"ST4-74_pColIb.fa_11349_+"	"CDS"	"+"	11346	11351	"SLP2_0015"	"ybbA"	"+"	"SLP2_0015"	"ybbA"	11075	11759	"plasmid"	100	92.31	97.44	100	9	13	39	7	95.4559090909091	97.8295652173913	"Constitutive"	"plasmid"	"intragenic"
"ST4-74_pColIb.fa"	11603	11604	"ST4-74_pColIb.fa_11603_-"	"CDS"	"-"	11602	11607	"SLP2_0015"	"ybbA"	"+"	"SLP2_0015"	"ybbA"	11075	11759	"plasmid"	100	75	84.38	100	6	20	32	9	80.7692307692308	87.8087804878049	"Constitutive"	"plasmid"	"intragenic"
"ST4-74_pColIb.fa"	11766	11767	"ST4-74_pColIb.fa_11766_+"	"intergenic"	"+"	11763	11768	"SLP2_0015"	"ybbA"	"++"	"SLP2_0016"	"ybfA"	11759	12399	"plasmid"	85.71	100	95.24	100	7	13	42	10	94.9985	96.1553846153846	"Constitutive"	"plasmid"	"intergenic"
"ST4-74_pColIb.fa"	12038	12039	"ST4-74_pColIb.fa_12038_-"	"intergenic"	"-"	12037	12042	"SLP2_0015"	"ybbA"	"++"	"SLP2_0016"	"ybfA"	11759	12399	"plasmid"	100	100	96.43	100	7	19	28	9	100	97.2983783783784	"Constitutive"	"plasmid"	"intergenic"
"ST4-74_pColIb.fa"	13146	13147	"ST4-74_pColIb.fa_13146_-"	"CDS"	"-"	13145	13150	"SLP2_0017"	"resA"	"+"	"SLP2_0017"	"resA"	12853	13639	"plasmid"	87.5	90	92.86	71.43	8	20	28	7	89.2857142857143	88.574	"Constitutive"	"plasmid"	"intragenic"
"ST4-74_pColIb.fa"	13228	13229	"ST4-74_pColIb.fa_13228_-"	"CDS"	"-"	13227	13232	"SLP2_0017"	"resA"	"+"	"SLP2_0017"	"resA"	12853	13639	"plasmid"	83.33	90	76	100	6	20	25	4	88.4607692307692	79.3103448275862	"Constitutive"	"plasmid"	"intragenic"
"ST4-74_pColIb.fa"	13319	13320	"ST4-74_pColIb.fa_13319_+"	"CDS"	"+"	13316	13321	"SLP2_0017"	"resA"	"+"	"SLP2_0017"	"resA"	12853	13639	"plasmid"	100	82.35	97.56	100	6	17	41	6	86.9543478260869	97.8714893617021	"Constitutive"	"plasmid"	"intragenic"
