"chrom"	"m_start"	"m_stop"	"pos_id"	"f_type"	"met_dir"	"site_start"	"site_stop"	"locus_tag"	"id2"	"f_dir"	"locus_tag1"	"id21"	"f_start"	"f_stop"	"domain"	"MEP-1.x"	"MEP-2.x"	"LSP-1.x"	"LSP-2.x"	"MEP-1.y"	"MEP-2.y"	"LSP-1.y"	"LSP-2.y"	"MEP_wt_mean"	"LSP_wt_mean"	"methyl_status"	"dna"	"feature"
"ST4-74_pColIb.fa"	11238	11239	"ST4-74_pColIb.fa_11238_+"	"CDS"	"+"	11234	11240	"SLP2_0015"	"ybbA"	"+"	"SLP2_0015"	"ybbA"	11075	11759	"plasmid"	0	85.71	73.68	100	2	7	19	2	66.6633333333333	76.1866666666667	"Constitutive"	"plasmid"	"intragenic"
"ST4-74_pColIb.fa"	11736	11737	"ST4-74_pColIb.fa_11736_+"	"CDS"	"+"	11732	11738	"SLP2_0015"	"ybbA"	"+"	"SLP2_0015"	"ybbA"	11075	11759	"plasmid"	85.71	100	78.57	85.71	7	7	28	7	92.855	79.998	"Constitutive"	"plasmid"	"intragenic"
"ST4-74_pColIb.fa"	14332	14333	"ST4-74_pColIb.fa_14332_-"	"CDS"	"-"	14331	14337	"SLP2_0019"	"parA"	"+"	"SLP2_0019"	"parA"	14222	14855	"plasmid"	100	85.71	84.21	85.71	5	14	19	7	89.4705263157895	84.6138461538461	"Constitutive"	"plasmid"	"intragenic"
"ST4-74_pColIb.fa"	15662	15663	"ST4-74_pColIb.fa_15662_+"	"CDS"	"+"	15658	15664	"SLP2_0021"	"stbA"	"+"	"SLP2_0021"	"stbA"	15467	16442	"plasmid"	100	88.24	83.87	100	7	17	31	13	91.67	88.6356818181818	"Constitutive"	"plasmid"	"intragenic"
"ST4-74_pColIb.fa"	16830	16831	"ST4-74_pColIb.fa_16830_-"	"CDS"	"-"	16829	16835	"SLP2_0022"	"stbB"	"+"	"SLP2_0022"	"stbB"	16445	16838	"plasmid"	40	80	86.36	80	5	10	22	10	66.6666666666667	84.3725	"Constitutive"	"plasmid"	"intragenic"
"ST4-74_pColIb.fa"	20327	20328	"ST4-74_pColIb.fa_20327_+"	"CDS"	"+"	20323	20329	"SLP2_0030"	"ycfA"	"+"	"SLP2_0030"	"ycfA"	20204	20981	"plasmid"	100	80	93.55	100	4	10	31	12	85.7142857142857	95.35	"Constitutive"	"plasmid"	"intragenic"
"ST4-74_pColIb.fa"	23774	23775	"ST4-74_pColIb.fa_23774_-"	"CDS"	"-"	23773	23779	"SLP2_0035"	"ssb"	"+"	"SLP2_0035"	"ssb"	23249	23777	"plasmid"	83.33	83.33	83.33	42.86	6	12	24	7	83.33	74.1916129032258	"Constitutive"	"plasmid"	"intragenic"
"ST4-74_pColIb.fa"	23774	23775	"ST4-74_pColIb.fa_23774_-"	"intergenic"	"-"	23773	23779	"SLP2_0035"	"ssb"	"++"	"SLP2_0036"	"ycjA"	23777	24120	"plasmid"	83.33	83.33	83.33	42.86	6	12	24	7	83.33	74.1916129032258	"Constitutive"	"plasmid"	"intergenic"
"ST4-74_pColIb.fa"	23943	23944	"ST4-74_pColIb.fa_23943_+"	"intergenic"	"+"	23939	23945	"SLP2_0035"	"ssb"	"++"	"SLP2_0036"	"ycjA"	23777	24120	"plasmid"	50	90.91	90	20	6	11	30	5	76.4711764705882	80	"Constitutive"	"plasmid"	"intergenic"
"ST4-74_pColIb.fa"	26592	26593	"ST4-74_pColIb.fa_26592_-"	"intergenic"	"-"	26591	26597	"SLP2_0037"	"psiB"	"++"	"SLP2_0038"	"psiA"	26574	26624	"plasmid"	66.67	88.89	80	60	3	9	15	5	83.335	75	"Constitutive"	"plasmid"	"intergenic"
"ST4-74_pColIb.fa"	35963	35964	"ST4-74_pColIb.fa_35963_-"	"CDS"	"-"	35962	35968	"SLP2_0049"	"nikB"	"+"	"SLP2_0049"	"nikB"	34311	37011	"plasmid"	55.56	76.92	85.71	87.5	9	13	28	8	68.1818181818182	86.1077777777778	"Constitutive"	"plasmid"	"intragenic"
"ST4-74_pColIb.fa"	36348	36349	"ST4-74_pColIb.fa_36348_+"	"CDS"	"+"	36344	36350	"SLP2_0049"	"nikB"	"+"	"SLP2_0049"	"nikB"	34311	37011	"plasmid"	100	88.89	87.88	100	5	18	33	13	91.3052173913044	91.3052173913044	"Constitutive"	"plasmid"	"intragenic"
"ST4-74_pColIb.fa"	38431	38432	"ST4-74_pColIb.fa_38431_-"	"CDS"	"-"	38430	38436	"SLP2_0050"	"trbC"	"-"	"SLP2_0050"	"trbC"	37047	39339	"plasmid"	100	88.89	75.86	50	4	9	29	6	92.3084615384615	71.4268571428571	"Constitutive"	"plasmid"	"intragenic"
