"chrom"	"m_start"	"m_stop"	"pos_id"	"f_type"	"met_dir"	"site_start"	"site_stop"	"locus_tag"	"id2"	"f_dir"	"locus_tag1"	"id21"	"f_start"	"f_stop"	"domain"	"MEP-1.x"	"MEP-2.x"	"LSP-1.x"	"LSP-2.x"	"MEP-1.y"	"MEP-2.y"	"LSP-1.y"	"LSP-2.y"	"MEP_wt_mean"	"LSP_wt_mean"	"methyl_status"	"dna"	"feature"
"ST4-74_pColIb.fa"	10406	10407	"ST4-74_pColIb.fa_10406_-"	"CDS"	"-"	10405	10411	"SLP2_0013"	"imm"	"-"	"SLP2_0013"	"imm"	10191	10539	"plasmid"	14.29	4.76	0	4.76	7	21	24	21	7.1425	2.22133333333333	"UM"	"plasmid"	"intragenic"
"ST4-74_pColIb.fa"	10409	10410	"ST4-74_pColIb.fa_10409_+"	"CDS"	"+"	10405	10411	"SLP2_0013"	"imm"	"-"	"SLP2_0013"	"imm"	10191	10539	"plasmid"	0	0	8.33	0	6	12	36	16	0	5.76692307692308	"UM"	"plasmid"	"intragenic"
"ST4-74_pColIb.fa"	16593	16594	"ST4-74_pColIb.fa_16593_-"	"CDS"	"-"	16592	16598	"SLP2_0022"	"stbB"	"+"	"SLP2_0022"	"stbB"	16445	16838	"plasmid"	16.67	12.5	10.53	0	6	16	19	7	13.6372727272727	7.695	"UM"	"plasmid"	"intragenic"
"ST4-74_pColIb.fa"	16596	16597	"ST4-74_pColIb.fa_16596_+"	"CDS"	"+"	16592	16598	"SLP2_0022"	"stbB"	"+"	"SLP2_0022"	"stbB"	16445	16838	"plasmid"	0	23.53	17.65	30	8	17	34	10	16.0004	20.4568181818182	"UM"	"plasmid"	"intragenic"
"ST4-74_pColIb.fa"	17519	17520	"ST4-74_pColIb.fa_17519_-"	"CDS"	"-"	17518	17524	"SLP2_0025"	"yccB"	"+"	"SLP2_0025"	"yccB"	17494	18421	"plasmid"	20	17.65	52	7.69	5	17	25	13	18.1840909090909	36.8413157894737	"LSP-specific"	"plasmid"	"intragenic"
"ST4-74_pColIb.fa"	17522	17523	"ST4-74_pColIb.fa_17522_+"	"CDS"	"+"	17518	17524	"SLP2_0025"	"yccB"	"+"	"SLP2_0025"	"yccB"	17494	18421	"plasmid"	14.29	61.11	59.38	50	7	18	32	6	48.0004	57.898947368421	"Constitutive"	"plasmid"	"intragenic"
"ST4-74_pColIb.fa"	40693	40694	"ST4-74_pColIb.fa_40693_-"	"CDS"	"-"	40692	40698	"SLP2_0052"	"trbA"	"-"	"SLP2_0052"	"trbA"	40420	41629	"plasmid"	62.5	55.56	58.06	22.22	8	18	31	9	57.6953846153846	49.996	"Constitutive"	"plasmid"	"intragenic"
"ST4-74_pColIb.fa"	40696	40697	"ST4-74_pColIb.fa_40696_+"	"CDS"	"+"	40692	40698	"SLP2_0052"	"trbA"	"-"	"SLP2_0052"	"trbA"	40420	41629	"plasmid"	66.67	33.33	39.39	25	3	18	33	12	38.0928571428571	35.5526666666667	"Constitutive"	"plasmid"	"intragenic"
"ST4-74_pColIb.fa"	43710	43711	"ST4-74_pColIb.fa_43710_-"	"intergenic"	"-"	43709	43715	"SLP2_0054A"	"SLP2_0054A"	"+-"	"SLP2_0055"	"exc"	42992	43905	"plasmid"	0	4.76	3.85	0	5	21	26	13	3.84461538461538	2.56666666666667	"UM"	"plasmid"	"intergenic"
"ST4-74_pColIb.fa"	43713	43714	"ST4-74_pColIb.fa_43713_+"	"intergenic"	"+"	43709	43715	"SLP2_0054A"	"SLP2_0054A"	"+-"	"SLP2_0055"	"exc"	42992	43905	"plasmid"	0	0	6.45	0	3	19	31	16	0	4.25425531914894	"UM"	"plasmid"	"intergenic"
"ST4-74_pColIb.fa"	4471	4472	"ST4-74_pColIb.fa_4471_-"	"intergenic"	"-"	4470	4476	"SLP2_0006"	"yadA"	"++"	"SLP2_0007"	"yaeA"	4420	4554	"plasmid"	0	4.76	3.7	0	7	21	27	20	3.57	2.12553191489362	"UM"	"plasmid"	"intergenic"
"ST4-74_pColIb.fa"	4474	4475	"ST4-74_pColIb.fa_4474_+"	"intergenic"	"+"	4470	4476	"SLP2_0006"	"yadA"	"++"	"SLP2_0007"	"yaeA"	4420	4554	"plasmid"	0	0	5.56	0	4	18	36	11	0	4.25872340425532	"UM"	"plasmid"	"intergenic"
"ST4-74_pColIb.fa"	44947	44948	"ST4-74_pColIb.fa_44947_-"	"CDS"	"-"	44946	44952	"SLP2_0056"	"traY"	"-"	"SLP2_0056"	"traY"	44632	46864	"plasmid"	0	0	6.9	18.75	7	21	29	16	0	11.1133333333333	"UM"	"plasmid"	"intragenic"
