#chrom	m_start	m_stop	pos_id	domain	m_dir	chrom	f_type.x	domain	MEP-1.x	MEP-2.x	LSP-1.x	LSP-2.x	MEP-1.y	MEP-2.y	LSP-1.y	LSP-2.y	MEP_wt_mean	LSP_wt_mean	methyl_status	dna	feature	m_start	m_stop	site_start	site_stop	f_type.y	f_dir	f_start	f_stop	locus_tag	id2	locus_tag1	id21
ST4-74_pColIb.fa	10406	10407	ST4-74_pColIb.fa_10406_-	plasmid	-	ST4-74_pColIb.fa	CDS	plasmid	14.29	4.76	0	4.76	7	21	24	21	7.1425	2.22133333333333	UM	plasmid	intragenic	10406	10407	10405	10411	CDS	-	10191	10539	SLP2_0013	imm	SLP2_0013	imm
ST4-74_pColIb.fa	10409	10410	ST4-74_pColIb.fa_10409_+	plasmid	+	ST4-74_pColIb.fa	CDS	plasmid	0	0	8.33	0	6	12	36	16	0	5.76692307692308	UM	plasmid	intragenic	10409	10410	10405	10411	CDS	-	10191	10539	SLP2_0013	imm	SLP2_0013	imm
ST4-74_pColIb.fa	16593	16594	ST4-74_pColIb.fa_16593_-	plasmid	-	ST4-74_pColIb.fa	CDS	plasmid	16.67	12.5	10.53	0	6	16	19	7	13.6372727272727	7.695	UM	plasmid	intragenic	16593	16594	16592	16598	CDS	+	16445	16838	SLP2_0022	stbB	SLP2_0022	stbB
ST4-74_pColIb.fa	16596	16597	ST4-74_pColIb.fa_16596_+	plasmid	+	ST4-74_pColIb.fa	CDS	plasmid	0	23.53	17.65	30	8	17	34	10	16.0004	20.4568181818182	UM	plasmid	intragenic	16596	16597	16592	16598	CDS	+	16445	16838	SLP2_0022	stbB	SLP2_0022	stbB
ST4-74_pColIb.fa	17519	17520	ST4-74_pColIb.fa_17519_-	plasmid	-	ST4-74_pColIb.fa	CDS	plasmid	20	17.65	52	7.69	5	17	25	13	18.1840909090909	36.8413157894737	LSP-specific	plasmid	intragenic	17519	17520	17518	17524	CDS	+	17494	18421	SLP2_0025	yccB	SLP2_0025	yccB
ST4-74_pColIb.fa	17522	17523	ST4-74_pColIb.fa_17522_+	plasmid	+	ST4-74_pColIb.fa	CDS	plasmid	14.29	61.11	59.38	50	7	18	32	6	48.0004	57.898947368421	Constitutive	plasmid	intragenic	17522	17523	17518	17524	CDS	+	17494	18421	SLP2_0025	yccB	SLP2_0025	yccB
ST4-74_pColIb.fa	40693	40694	ST4-74_pColIb.fa_40693_-	plasmid	-	ST4-74_pColIb.fa	CDS	plasmid	62.5	55.56	58.06	22.22	8	18	31	9	57.6953846153846	49.996	Constitutive	plasmid	intragenic	40693	40694	40692	40698	CDS	-	40420	41629	SLP2_0052	trbA	SLP2_0052	trbA
ST4-74_pColIb.fa	40696	40697	ST4-74_pColIb.fa_40696_+	plasmid	+	ST4-74_pColIb.fa	CDS	plasmid	66.67	33.33	39.39	25	3	18	33	12	38.0928571428571	35.5526666666667	Constitutive	plasmid	intragenic	40696	40697	40692	40698	CDS	-	40420	41629	SLP2_0052	trbA	SLP2_0052	trbA
ST4-74_pColIb.fa	43710	43711	ST4-74_pColIb.fa_43710_-	plasmid	-	ST4-74_pColIb.fa	intergenic	plasmid	0	4.76	3.85	0	5	21	26	13	3.84461538461538	2.56666666666667	UM	plasmid	intergenic	43710	43711	43709	43715	intergenic	+-	42992	43905	SLP2_0054A	SLP2_0054A	SLP2_0055	exc
ST4-74_pColIb.fa	43713	43714	ST4-74_pColIb.fa_43713_+	plasmid	+	ST4-74_pColIb.fa	intergenic	plasmid	0	0	6.45	0	3	19	31	16	0	4.25425531914894	UM	plasmid	intergenic	43713	43714	43709	43715	intergenic	+-	42992	43905	SLP2_0054A	SLP2_0054A	SLP2_0055	exc
ST4-74_pColIb.fa	4471	4472	ST4-74_pColIb.fa_4471_-	plasmid	-	ST4-74_pColIb.fa	intergenic	plasmid	0	4.76	3.7	0	7	21	27	20	3.57	2.12553191489362	UM	plasmid	intergenic	4471	4472	4470	4476	intergenic	++	4420	4554	SLP2_0006	yadA	SLP2_0007	yaeA
ST4-74_pColIb.fa	4474	4475	ST4-74_pColIb.fa_4474_+	plasmid	+	ST4-74_pColIb.fa	intergenic	plasmid	0	0	5.56	0	4	18	36	11	0	4.25872340425532	UM	plasmid	intergenic	4474	4475	4470	4476	intergenic	++	4420	4554	SLP2_0006	yadA	SLP2_0007	yaeA
ST4-74_pColIb.fa	44947	44948	ST4-74_pColIb.fa_44947_-	plasmid	-	ST4-74_pColIb.fa	CDS	plasmid	0	0	6.9	18.75	7	21	29	16	0	11.1133333333333	UM	plasmid	intragenic	44947	44948	44946	44952	CDS	-	44632	46864	SLP2_0056	traY	SLP2_0056	traY
ST4-74_pColIb.fa	44950	44951	ST4-74_pColIb.fa_44950_+	plasmid	+	ST4-74_pColIb.fa	CDS	plasmid	0	4.76	16.22	5.56	6	21	37	18	3.70222222222222	12.7312727272727	UM	plasmid	intragenic	44950	44951	44946	44952	CDS	-	44632	46864	SLP2_0056	traY	SLP2_0056	traY
ST4-74_pColIb.fa	55641	55642	ST4-74_pColIb.fa_55641_-	plasmid	-	ST4-74_pColIb.fa	CDS	plasmid	12.5	35.29	22.86	30	8	34	35	10	30.9490476190476	24.4466666666667	UM	plasmid	intragenic	55641	55642	55640	55646	CDS	-	55143	56433	SLP2_0066	traO	SLP2_0066	traO
ST4-74_pColIb.fa	55644	55645	ST4-74_pColIb.fa_55644_+	plasmid	+	ST4-74_pColIb.fa	CDS	plasmid	20	26.32	21.62	0	5	19	37	11	25.0033333333333	16.6654166666667	UM	plasmid	intragenic	55644	55645	55640	55646	CDS	-	55143	56433	SLP2_0066	traO	SLP2_0066	traO
ST4-74_pColIb.fa	57711	57712	ST4-74_pColIb.fa_57711_-	plasmid	-	ST4-74_pColIb.fa	CDS	plasmid	36.36	25	14.29	0	11	28	35	10	28.2041025641026	11.1144444444444	UM	plasmid	intragenic	57711	57712	57710	57716	CDS	-	57429	58122	SLP2_0068	traM	SLP2_0068	traM
ST4-74_pColIb.fa	57714	57715	ST4-74_pColIb.fa_57714_+	plasmid	+	ST4-74_pColIb.fa	CDS	plasmid	14.29	29.17	34.29	7.14	7	24	35	14	25.81	26.5328571428571	UM	plasmid	intragenic	57714	57715	57710	57716	CDS	-	57429	58122	SLP2_0068	traM	SLP2_0068	traM
ST4-74_pColIb.fa	58322	58323	ST4-74_pColIb.fa_58322_-	plasmid	-	ST4-74_pColIb.fa	CDS	plasmid	55.56	82.76	51.85	44.44	9	29	27	9	76.3178947368421	49.9975	Constitutive	plasmid	intragenic	58322	58323	58321	58327	CDS	-	58118	58466	SLP2_0069	traL	SLP2_0069	traL
ST4-74_pColIb.fa	58325	58326	ST4-74_pColIb.fa_58325_+	plasmid	+	ST4-74_pColIb.fa	CDS	plasmid	75	88.46	63.33	23.08	8	26	30	13	85.2929411764706	51.1613953488372	Constitutive	plasmid	intragenic	58325	58326	58321	58327	CDS	-	58118	58466	SLP2_0069	traL	SLP2_0069	traL
ST4-74_pColIb.fa	58455	58456	ST4-74_pColIb.fa_58455_-	plasmid	-	ST4-74_pColIb.fa	CDS	plasmid	66.67	77.42	64.86	50	12	31	37	12	74.42	61.2208163265306	Constitutive	plasmid	intragenic	58455	58456	58454	58460	CDS	-	58118	58466	SLP2_0069	traL	SLP2_0069	traL
